出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-21 Tuesday,Departure time: 9:10 PM.,TPE,Arrival time: 11:10 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 117,Economy,$59
2025-01-21 Tuesday,Departure time: 5:40 PM.,TPE,Arrival time: 7:35 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 115,Economy,$66
2025-01-21 Tuesday,Departure time: 9:20 PM.,TPE,Arrival time: 11:20 PM.,HKG,Greater Bay Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HB 705,Economy,$72
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:10 AM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,JX 233,Economy,$106
2025-01-21 Tuesday,Departure time: 7:15 AM.,TPE,Arrival time: 9:15 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 601,Economy,$112
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 903,Economy,$112
2025-01-21 Tuesday,Departure time: 10:50 AM.,TPE,Arrival time: 12:55 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 909,Economy,$112
2025-01-21 Tuesday,Departure time: 2:30 PM.,TPE,Arrival time: 4:30 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 915,Economy,$112
2025-01-21 Tuesday,Departure time: 4:55 PM.,TPE,Arrival time: 7:00 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 919,Economy,$112
2025-01-21 Tuesday,Departure time: 6:10 PM.,TPE,Arrival time: 8:10 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 923,Economy,$112
2025-01-21 Tuesday,Departure time: 9:10 PM.,TPE,Arrival time: 11:00 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 921,Economy,$112
2025-01-21 Tuesday,Departure time: 7:00 AM.,TPE,Arrival time: 9:00 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 891,Economy,$117
2025-01-21 Tuesday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 851,Economy,$117
2025-01-21 Tuesday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 867,Economy,$117
2025-01-21 Tuesday,Departure time: 12:25 PM.,TPE,Arrival time: 2:20 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 869,Economy,$117
2025-01-21 Tuesday,Departure time: 2:25 PM.,TPE,Arrival time: 4:25 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 855,Economy,$117
